FIPS,County,Total population,Median household income,Median home value,ZHVI
1001,"Autauga County, Alabama",55221,51281,141300,133500
1003,"Baldwin County, Alabama",195121,50254,169300,203400
1005,"Barbour County, Alabama",26932,32964,92200,#N/A
1007,"Bibb County, Alabama",22604,38678,102700,#N/A
1009,"Blount County, Alabama",57710,45813,119800,#N/A
1011,"Bullock County, Alabama",10678,31938,68600,#N/A
1013,"Butler County, Alabama",20354,32229,78900,#N/A
1015,"Calhoun County, Alabama",116648,41703,105900,#N/A
1017,"Chambers County, Alabama",34079,34177,80800,#N/A
1019,"Cherokee County, Alabama",26008,36296,105100,#N/A
1021,"Chilton County, Alabama",43819,41627,100100,#N/A
1023,"Choctaw County, Alabama",13395,33536,61100,#N/A
1025,"Clarke County, Alabama",25070,32011,86900,#N/A
1027,"Clay County, Alabama",13537,35327,84100,#N/A
1029,"Cleburne County, Alabama",15002,38056,108000,113400
1031,"Coffee County, Alabama",50884,46729,142400,#N/A
1033,"Colbert County, Alabama",54444,40576,99400,#N/A
1035,"Conecuh County, Alabama",12865,24900,70100,#N/A
1037,"Coosa County, Alabama",11027,31212,78300,#N/A
1039,"Covington County, Alabama",37886,36444,93600,93700
1041,"Crenshaw County, Alabama",13938,36022,70600,#N/A
1043,"Cullman County, Alabama",80965,38971,115200,#N/A
1045,"Dale County, Alabama",49866,45028,101700,#N/A
1047,"Dallas County, Alabama",42154,27306,81500,#N/A
1049,"DeKalb County, Alabama",71068,38192,98500,#N/A
1051,"Elmore County, Alabama",80763,53555,147500,#N/A
1053,"Escambia County, Alabama",37935,32330,93800,#N/A
1055,"Etowah County, Alabama",103766,39220,100400,100300
1057,"Fayette County, Alabama",16896,34680,75200,#N/A
1059,"Franklin County, Alabama",31634,35372,85600,#N/A
1061,"Geneva County, Alabama",26815,36024,77400,#N/A
1063,"Greene County, Alabama",8697,20541,69600,#N/A
1065,"Hale County, Alabama",15256,32714,87400,#N/A
1067,"Henry County, Alabama",17252,41997,96300,#N/A
1069,"Houston County, Alabama",103534,41571,123300,127200
1071,"Jackson County, Alabama",52860,37745,98900,#N/A
1073,"Jefferson County, Alabama",659026,45610,143400,109500
1075,"Lamar County, Alabama",14133,35450,67900,#N/A
1077,"Lauderdale County, Alabama",92737,43125,118600,114900
1079,"Lawrence County, Alabama",33586,40003,94800,#N/A
1081,"Lee County, Alabama",150982,44570,154300,#N/A
1083,"Limestone County, Alabama",88805,49570,142100,#N/A
1085,"Lowndes County, Alabama",10742,25876,67800,#N/A
1087,"Macon County, Alabama",20018,30738,74700,#N/A
1089,"Madison County, Alabama",346438,57993,167900,153000
1091,"Marengo County, Alabama",20306,32042,90800,#N/A
1093,"Marion County, Alabama",30387,32299,81400,#N/A
1095,"Marshall County, Alabama",94318,38983,115500,#N/A
1097,"Mobile County, Alabama",414251,43809,122400,110900
1099,"Monroe County, Alabama",22217,27257,81200,#N/A
1101,"Montgomery County, Alabama",228138,44369,122300,#N/A
1103,"Morgan County, Alabama",119786,45751,123500,116200
1105,"Perry County, Alabama",10038,24537,66300,#N/A
