RegionID,RegionName,State,Metro,StateCodeFIPS,,MunicipalCodeFIPS,SizeRank,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04
66,Ada,ID,Boise City,16,Boise City,1,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14638448,1.149983803,1.139794686,1.130952381,1.129032258,1.054676868,1.097572933,1.015435301,1.055555556,1.049696572,1.037406132,1.0259021,0.999840026,1.004987717,1.01623967,1.002825068,0.982565975,0.942844284,0.960519343,0.957350902,0.961538462,0.874603175,0.942857143,0.930256065,0.900105627,0.874213836,0.908833271,0.908833271,0.877932294,0.869877869,0.928688017,0.864998173,0.855061967,0.878539879,0.891116202,0.897552448,0.913500914,0.942961033,0.946428571,0.914454277,0.957591064,0.937149407,0.932872559,0.942028986,0.949767835,0.956074008,0.938768664,0.918773196,0.951398624,0.94004801,0.963391137,0.9359401,0.939701191,0.914634146,0.934139785,0.930302314,0.931846344,0.912170671,0.885770975,0.880966268,0.926666122,0.926666122,0.864209629,0.875141567
80,Lee,FL,Fort Myers,12,Fort Myers,71,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.111491108,1.101127555,1.047109976,1.029331442,1.01744186,0.983899821,0.972590628,1.023136527,1.002592913,1.002592913,0.991452991,0.977291939,1.024585973,1.023297491,1.00877193,1.015092613,0.986739148,0.974564967,0.973184609,1.0061608,1.004439334,1.061083012,1.031512526,0.988818157,0.957767722,0.912787321,0.922934629,0.891922248,1.015847217,0.973494744,0.933578206,0.923064462,0.933922208,0.957926371,0.965924238,0.959223686,1.019345238,0.977805567,0.975061621,1.036789298,0.972030572,0.975860298,1.053120303,1.033057851,1.042915108,0.983606557,0.974937849,1.022206044,1.040169628,1.021176725,1.062804383,1.022077261,1.055600997,1.094835397,1.124811518,1.067302402,1.036519871,0.990078019,1.045622145,1.003210273,1.025155895,1.075187949,0.961850649,0.947431108,0.979008552,0.946528793,1.016481302,1.073393054,1.080283353
126,Clay,MO,Kansas City,29,Kansas City,47,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.916380298,0.830469645,0.942126514,0.962466382,1.016473427,1.000767428,0.954883721,0.935773173,0.926467968,0.961221122,0.982406787,0.909287587,0.973554939,0.972222222,0.971333092,0.962342922,1.116245262,0.976911896,0.954122998,0.992063492,0.967607973,0.993971399,0.982704403,0.975832495,1.051401869,0.996143959
135,Cobb,GA,Atlanta,13,Atlanta,67,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.052041809,1.155015917,1.14278529,1.125818777,1.128759171,1.100376157,1.124606388,1.168091168,1.242294417,1.23278553,1.146865616,1.178821179,1.21564482,1.180750106,1.322850116,1.144366197,1.13744856,1.095168876,1.076777186,1.063075833,1.06981116,1.091082221,1.075591076,1.06442577,1.083660923,1.08774236,1.081351793,1.076119724,1.079182631,1.12991807,1.121617434,1.117078092,1.129740519,1.101815956,1.140593824,1.178464358,1.230783193,1.249360614,1.218358422,1.201838105,1.220430108,1.258102842,1.257822278,1.280203576,1.308972663,1.256395395,1.272253582,1.278875526,1.272727273,1.265746177,1.236984989,1.198843527,1.19475599,1.321232588,1.309378331,1.301608042,1.311939591,1.340336134,1.29778507,1.116822722,1.142277899,1.074517631,1.096747289,1.090084521,1.029046288,1.096141582,1.073396465,1.141408352,1.10181756,1.121934954,1.144044321
139,Cook,IL,Chicago,17,Chicago,31,2,1.072881983,1.074840764,1.069153776,1.047919866,1.042684914,1.115446929,0.958532695,1.114365767,1.149741446,1.200480192,1.209231467,1.18809754,1.215277778,1.243151307,1.302816901,1.339285714,1.368760064,1.377410468,1.394824773,1.432098765,1.42337591,1.429763193,1.441336441,1.452660362,1.442307692,1.411960133,1.40944327,1.520241171,1.519851117,1.507633588,1.510496183,1.560831448,1.517424494,1.477677539,1.486638891,1.496581197,1.598547498,1.608354538,1.628787879,1.618560699,1.624691358,1.607955147,1.573302028,1.587301587,1.532265126,1.527550464,1.544752385,1.510085294,1.4646258,1.474417166,1.464922011,1.521637047,1.558013446,1.61324624,1.512086373,1.570988107,1.550048591,1.508813874,1.438957868,1.509165971,1.594899024,1.512363427,1.482288828,1.490589833,1.478158176,1.451905626,1.408106961,1.506681211,1.557860844,1.609112586,1.546517642,1.517943434,1.566080978,1.452581659,1.416407666,1.406541408,1.379972346,1.361468793,1.355118978,1.325775376,1.339226741,1.369321147,1.329770396,1.319686509,1.308080808,1.295667963,1.29540058
146,Dane,WI,Madison,55,Madison,25,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.103033727,1.157170294,1.14331691,0.931677019,0.843953796,0.827713113,0.848404706,0.854354762,0.841920927,0.809847749,0.831081081,0.807700635,0.794822627,0.833333333,0.850938967,0.847313414,0.877830493,0.869360902,0.877588887,0.834235209,0.826030082,0.841346154,0.833487956,0.794355254,0.841691801,0.822767961,0.89356203,0.896788854,0.875921653
207,King,WA,Seattle,53,Seattle,33,13,0,0,0.728297467,0.774102042,0.779688125,0.799909344,0.776284622,0.769677687,0.764195658,0.864294623,0.805585392,0.79222839,0.810962576,0.80721054,0.809138505,0.846174642,0.847312131,0.811722538,0.839764335,0.827442827,0.826539855,0.85772986,0.859146426,0.853096179,0.833903286,0.859254992,0.86828252,0.859066089,0.880658436,0.877192982,0.895983171,0.89485786,0.911431072,0.903381227,0.870010974,0.839466579,0.859285853,0.896810507,0.88612368,0.890652557,0.895616185,0.9015173,0.907400276,0.957579694,0.938276205,0.934528467,0.942706272,0.929312239,0.917298778,0.915389073,0.93439794,0.955456422,0.969017371,0.972888831,0.966631356,0.961045811,0.935717003,0.940080301,0.926898315,0.93410788,0.941915228,0.944669366,0.940139416,0.925370148,0.929122255,0.935129747,0.928381963,0.919906783,0.900520532,0.844693854,0.871129096,0.868931349,0.892626389,0.905531866,0.899767802,0.910580951,0.89509488,0.817822326,0.834533065,0.847356143,0.801569249,0.780352855,0.778737942,0.800413335,0.844169282,0.854317903,0.840559596
231,Lane,OR,Eugene,41,Eugene,39,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.853046595,0.846222222,0.814814815,0.873015873,0.823192555,0.746218784,0.743739652,0.827342234,0.818483216,0.774746907,0.852272727,0.831693947,0.809160305,0.769411458,0.747180451,0.777363184,0.785185185,0.836323697,0.808823529,0.825512687,0.785024155,0.757595709,0.761390887,0.768518788,0.762322473,0.785597381,0.791581483,0.818661972,0.806610057,0.829462508,0.765174897,0.756465517,0.78369906,0.748515148,0.787671233,0.779696494,0.797773655,0.791200683,0.785890612,0.875,0.816155209,0.799036703,0.772430184,0.807023436,0.794943701,0.77457265,0.792184821,0.78648548,0.819958993,0.744685055,0.751597467,0.797373358,0.709090909,0.723916321,0.780754437,0.703881066,0.799498747,0.703119995,0.778654485,0.751445087,0.808937979
232,Leon,FL,Tallahassee,12,Tallahassee,73,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.933569182,0.943396226,0.920783267,0.896610126,0.959243249,0.916162055,0.917431193,0.927397986,0.899832589,0.978084416,0.950385872,0.954747215,0.94637224,0.976669211,0.980808424,0.984604368,1.012068897
281,Pima,AZ,Tucson,4,Tucson,19,37,0,0,0,0,0,0,0,0,0,0,0.916235146,0.91554783,0.925084787,0.921052632,0.953632279,1.007876946,1.015783716,1.00740929,1.022727273,1.043207769,1.029554264,1.026485788,1.051058854,1.057082452,1.079064409,1.061965812,1.069385333,1.073680191,1.053719008,1.043606504,1,0.994188115,0.987037037,0.956043956,0.950491907,0.961745762,0.955794504,0.937183384,0.925531915,0.922217047,0.91374269,0.823172177,0.833987441,0.918367347,0.909090909,0.9,0.901923077,0.882869693,0.891666667,0.894897182,0.907590759,0.903092006,0.910848228,0.924914556,0.911261941,0.911387131,0.907091809,0.894322064,0.898963338,0.900422255,0.903092006,0.89794456,0.911764706,0.920620906,0.917917034,0.912177169,0.887573964,0.881940907,0.87354147,0.91325296,0.904914946,0.898835469,0.904370263,0.91842363,0.926104086,0.902777778,0.887345679,0.915300546,0.888761468,0.852201958,0.891959176,0.842409803,0.876251269,0.877192982,0.896620785,0.915942029,0.913043478
