"","RegionName","RegionID","Zhvi","countyFips"
"1","Los Angeles",3101,560500,6037
"2","Cook",139,213400,17031
"3","Maricopa",2402,238800,4013
"4","San Diego",2841,532000,6073
"5","Orange",1286,676600,6059
"6","Kings",581,695100,36047
"7","Miami-Dade",2964,268500,12086
"8","Dallas",978,174300,48113
"9","Queens",1347,500100,36081
"10","Riverside",2832,336200,6065
"11","San Bernardino",3250,303800,6071
"12","Clark",445,219200,32003
"13","King",207,540400,53033
"14","Wayne",791,71100,26163
"15","Tarrant",2049,181500,48439
"16","Santa Clara",3136,1004400,6085
"17","Broward",1561,226100,12011
"18","New York",2452,1242200,36061
"19","Philadelphia",3175,135800,42101
"20","Alameda",1510,770400,6001
"21","Middlesex",2801,486400,25017
"22","Suffolk",2046,377600,36103
"23","Sacramento",3017,325800,6067
"24","Nassau",1252,497600,36059
"25","Palm Beach",2993,251700,12099
"26","Cuyahoga",2241,115200,39035
"27","Hillsborough",3165,194800,12057
"28","Allegheny",2614,138300,42003
"29","Oakland",1950,220300,26125
"30","Franklin",2288,150000,39049
"31","Hennepin",2339,252400,27053
"32","Orange",1287,207700,12095
"33","Fairfax",1694,520400,51059
"34","Contra Costa",3159,568400,6013
"35","Salt Lake",2840,257600,49035
"36","Travis",1440,307500,48453
"37","Saint Louis",3130,165700,29189
"38","Pima",281,179800,4019
"39","Montgomery",2975,434600,24031
"40","Honolulu",2347,658300,15003
"41","Westchester",3148,557000,36119
"42","Milwaukee",2804,112100,55079
"43","Fresno",1018,221400,6019
"44","Shelby",1388,110600,47157
"45","Fulton",1020,234400,13121
"46","Mecklenburg",3102,197900,37119
"47","Du Page",1682,276400,17043
"48","Fairfield",2694,404500,9001
"49","Pinellas",2480,192800,12103
"50","Bergen",874,453800,34003
"51","Marion",1165,112400,18097
"52","Wake",324,248900,37183
"53","Hartford",2337,213100,9003
"54","Duval",489,153200,12031
"55","Prince Georges",3246,279700,24033
"56","New Haven",2815,218000,9009
"57","Macomb",1155,155400,26099
"58","Kern",204,190800,6029
"59","Ventura",2061,556900,6111
"60","Middlesex",2802,302400,34023
"61","Gwinnett",2314,197000,13135
"62","San Francisco",3227,1167700,6075
"63","Baltimore",2626,232900,24005
"64","Hamilton",2322,132900,39061
"65","El Paso",1690,112200,48141
"66","Montgomery",2981,280800,42091
"67","Worcester",2879,254700,25027
"68","Pierce",1322,289400,53053
"69","Essex",504,350900,34013
"70","Collin",951,310900,48085
"71","Essex",503,398600,25009
"72","Jefferson",2742,152100,21111
"73","Multnomah",2810,389600,41051
"74","Suffolk",2045,502800,25025
"75","San Mateo",2842,1105500,6081
"76","Snohomish",2847,394600,53061
"77","Lake",220,232700,17097
"78","Dekalb",984,165100,13089
"79","Cobb",135,225300,13067
"80","San Joaquin",3134,308000,6077
"81","Will",330,204400,17197
"82","Jackson",1804,117200,29095
"83","Norfolk",1948,450500,25021
"84","Denton",988,264100,48121
"85","Bernalillo",2889,189000,35001
"86","Jefferson",2732,109500,1073
"87","Hudson",1106,374400,34017
"88","Monmouth",2441,392700,34025
"89","Davidson",2243,226100,47037
"90","Providence",3001,220900,44007
"91","Bucks",414,301600,42017
"92","El Paso",1689,251400,8041
"93","Baltimore City",3236,123200,24510
"94","Lee",80,222300,12071
"95","Kent",201,166200,26081
"96","Polk",285,156300,12105
"97","District of Columbia",3289,559300,11001
"98","Denver",989,376500,8031
"99","Ocean",659,275000,34029
"100","Arapahoe",2127,333800,8005
"101","Delaware",2251,190700,42045
"102","Bristol",1558,286900,25005
"103","Johnson",1822,236900,20091
"104","Brevard",1556,182800,12009
"105","Summit",1404,124100,39153
"106","New Castle",2986,221800,10003
"107","Anne Arundel",3152,336300,24003
"108","Montgomery",2980,95300,39113
"109","Jefferson",2734,384300,8059
"110","Washington",3069,375800,41067
"111","Lancaster",2776,190300,42071
"112","Douglas",1676,151500,31055
"113","Utah",322,255500,49049
"114","Kane",197,216600,17089
"115","Stanislaus",3033,267600,6099
"116","Camden",911,168000,34007
"117","Ramsey",1349,224900,27123
"118","Passaic",1964,301800,34031
"119","Chester",1611,329400,42029
"120","Sedgwick",2537,130400,20173
"121","Lake",221,126700,18089
"122","Plymouth",2482,356000,25023
"123","Volusia",2063,168900,12127
"124","Morris",1241,421700,34027
"125","Guilford",2312,134900,37081
"126","Dane",146,248200,55025
"127","Sonoma",1396,580600,6097
"128","Spokane",2033,197400,53063
"129","Richmond",2511,467400,36085
"130","Onondaga",2465,131100,36067
"131","Pasco",669,162600,12101
"132","Hampden",1746,187800,25013
"133","Greenville",2934,169000,45045
"134","Burlington",2896,217800,34005
"135","Tulare",1442,184800,6107
"136","Lucas",616,90500,39095
"137","Adams",353,287300,8001
"138","East Baton Rouge",3266,157900,22033
"139","Virginia Beach City",3286,255900,51810
"140","York",343,164700,42133
"141","Jefferson",2743,172100,22051
"142","Knox",215,158900,47093
"143","Genesee",1721,94200,26049
"144","Clark",448,304600,53011
"145","Santa Barbara",3229,559800,6083
"146","Seminole",2538,225200,12117
"147","Williamson",3081,239500,48491
"148","Washoe",1485,306300,32031
"149","Monterey",2444,502200,6053
"150","Solano",1395,385700,6095
"151","Mobile",1208,110900,1097
"152","Berks",385,168600,42011
"153","Cameron",1585,79800,48061
"154","Prince William",3247,345200,51153
"155","Hillsborough",3166,252700,33011
"156","Dakota",971,256700,27037
"157","Ada",66,217300,16001
"158","Waukesha",2596,261200,55133
"159","Richland",2507,131400,45079
"160","Pulaski",1981,122600,5119
"161","Sarasota",2528,250700,12115
"162","Clackamas",2661,382300,41005
"163","Pinal",685,178100,4021
"164","Stark",730,119500,39151
"165","Orange",1290,222800,36071
"166","Butler",904,157400,39017
"167","Mercer",1201,227700,34021
"168","Westmoreland",3200,128900,42129
"169","Saint Charles",3223,216100,29183
"170","Allen",367,114100,18003
"171","Lane",231,244400,41039
"172","Forsyth",1712,135800,37067
"173","Lehigh",1146,184800,42077
"174","Placer",1325,446000,6061
"175","Washtenaw",2869,248900,26161
"176","Orleans",1953,173700,22071
"177","Hamilton",2323,155900,47065
"178","Madison",1894,153000,1089
"179","Marion",1161,134800,12083
"180","Somerset",2552,395700,34035
"181","Manatee",1916,242500,12081
"182","Collier",1638,335100,12021
"183","Luzerne",1893,104900,42079
"184","Cumberland",2912,114300,37051
"185","Saint Louis City",3269,118900,29510
"186","Chesterfield",3158,218500,51041
"187","Marion",1171,230600,41047
"188","Loudoun",1887,471100,51107
"189","Rockland",2515,410700,36087
"190","Bell",98,119400,48027
"191","McHenry",1922,201800,17111
"192","Henrico",1771,214400,51087
"193","Davis",470,251800,49011
"194","Albany",823,217800,36001
"195","Lorain",1150,129300,39093
"196","Larimer",1849,339900,8069
"197","Northampton",3112,187800,42095
"198","Escambia",2259,136900,12033
"199","Dutchess",2255,253500,36027
"200","Lake",219,187900,12069
"201","Fayette",1701,162000,21067
"202","Winnebago",2877,99100,17201
"203","Rockingham",3013,306000,33015
"204","Boulder",1549,492600,8013
"205","Anchorage",2616,292800,2020
"206","Howard",1101,433700,24027
"207","Douglas",1670,445300,8035
"208","Lancaster",2775,157200,31109
"209","Spartanburg",3141,126000,45083
"210","Ingham",1110,125600,26065
"211","Erie",159,121500,42049
"212","Saint Lucie",3131,187200,12111
"213","Leon",232,167200,12073
"214","Greene",1057,118400,29077
"215","Hamilton",2318,226500,18057
"216","Atlantic",2133,181500,34001
"217","New London",2987,219400,9011
"218","Saint Clair",3122,94400,17163
"219","San Luis Obispo",3261,563100,6079
"220","Osceola",1957,182500,12097
"221","Dauphin",1650,151300,42043
"222","Durham",999,186900,37063
"223","Saint Joseph",2849,102600,18141
"224","Chatham",1608,156100,13051
"225","Ottawa",1300,185400,26139
"226","Rutherford",3016,194200,47149
"227","Lexington",2779,136600,45063
"228","Santa Cruz",3025,738600,6087
"229","Merced",1196,224000,6047
"230","Caddo",423,103800,22017
"231","Weld",329,270400,8123
"232","Marin",625,1042600,6041
"233","Thurston",2575,266200,53067
"234","Kalamazoo",2761,143300,26077
"235","Webb",328,120700,48479
"236","Brown",410,161000,55009
"237","Alachua",1509,163300,12001
"238","Hinds",562,79000,28049
"239","Harford",1761,259100,24025
"240","Yakima",1503,184400,53077
"241","Norfolk City",3173,177800,51710
"242","Mahoning",2399,77600,39099
"243","Buncombe",2156,245500,37021
"244","Washington",3061,267300,27163
"245","Cumberland",2914,184200,42041
"246","Oneida",1283,117600,36065
"247","Saint Tammany",3225,192000,22103
"248","Frederick",2699,288000,24021
"249","Weber",802,190100,49057
